Column1	Column2
45900fc094ffa2a989d5f7c0a4efcaa6	나이키 에어포스1. 275
94e55e368ca504f8338323fce4307924	나이키 에어포스1 스니커즈 280
42b6cb187eadd17d796a468d2d9def6c	나이키 에어포스 1 270사이즈
86d8d702a5b5c2f63293310d16d02db8	나이키 에어포스1 (235)
77c9775dff0c5fb77e5e748def0eea18	(270) 에어포스1
4d55e4bf4e4193172947debee03a5a63	(새상품 265)나이키 에어포스1 로우 화이트
11eeb346496ce27d461c4c07d9542609	나이키 에어포스1 로우 255
e47cb294c22aa1e1a74cf4b74c8d5a65	(네고가능) 에어포스 265 올백 화이트
30388e8230a5958b673064b6ee2e7d6a	나이키 에어포스 240
cc2f46c36e6e4d1ebedf94453bed114d	나이키 에어포스 1 '07 로우 여성 운동화 (235mm)
20721cbe469f1b1aaa6f56fdb97cc2d1	나이키 에어포스1 로우 트리플화이트 265
4184aac381aa53888a47337fe1a674d0	나이키 에어포스 올백 265
b77bdd4d678f3fcc90de815aaec19d6c	에어포스 로우화이트  275
317c9424a03aab7a06f0ea80928968a7	나이키 에어포스1 07 Low White 275mm
0a066e5916ce1ba23844b9865b37cd20	에어포스 1 07 245mm
0174876d0cdeb93e2492fd0445841dba	나이키 에어 포스1 로우 사이즈 240
3656ec9ceb1669cfdd6ce7f4da77d726	나이키 에어포스 285사이즈
ec608f642474b27499f92f89ed9f01c2	나이키 에어 포스 올빽 cw2288-111 265팝니다
85373ddd112b4021808ec96843191773	나이키 에어포스1 올백 285
0232880633c3c9516e1ccf2337b655ff	(새상품) 나이키 에어포스 올백 265
5c90f7ae07f335aed5857de1ed39979e	더블식스(정품)나이키 에어포스1 '07 화이트 울프그레이 280
9daa1c2a3f348d40e9a4ab7f70abd453	나이키 에어포스1 07 로우 화이트 270
27e214a507793f4d452f64d37a0faf5f	나이키 에어포스 265 시착만해본 새상품
8ccd4dfb422040bb2313c7ebbbdd79b8	나이키 에어포스 1 07 올백 265
61ac088178b78ab315646d070a982dee	에어포스1 275사이즈
a4b3251e28aa254301632326da145278	[새상품] 나이키 에어포스1 07 로우 화이트 250
8fabd27ed7ebdc209ef8cc1b695b234b	나이키 에어포스 225
60649a8ce93564ade3079d9c8937717a	나이키 에어포스 올백 1 290
ad65bfb68d713362f505543ee6194b46	올백에어포스1 265mm 새상품
a421f226d16d934c968e1ae55bb13cfe	나이키 에어포스1  07 로우 올백 우먼스 240
